FirstName,LastName,Email,Phone,DOB,Gender,City,State,Segment,Status,JoinDate,Employment,Income
Paige,Taylor,vwatson@example.net,+1-669-226-1796,1992-02-28,M,Jeffmouth,IA,VIP,Inactive,2024-09-22,Employed Full-time,55568
Cory,Jennings,bruce43@example.org,513.590.0532x931,2000-07-06,F,West Kim,WY,Retail,Active,2025-09-19,Employed Full-time,56009
Aaron,Garrison,vanessafernandez@example.org,402-605-3950,1948-10-01,F,Lake Robert,DE,Premium,Inactive,2023-06-15,Self-employed,133607
Thomas,Strickland,hayesjeffrey@example.net,3849700766,1993-08-30,M,Jonesland,MD,Premium,Active,2025-10-08,Retired,51771
Eddie,Martinez,oscar98@example.com,789.961.1836x736,1972-04-26,F,Blairmouth,NE,Premium,Active,2024-07-06,Self-employed,115470
Elizabeth,Brooks,gloriawells@example.org,716-315-2809,1973-02-20,F,Morganchester,VI,VIP,Inactive,2023-05-27,Retired,75247
Tanya,Burke,dale83@example.org,+1-273-615-8514x93689,1947-02-26,F,West Jacqueline,ME,Retail,Inactive,2024-08-17,Self-employed,110049
Michael,White,ashleymorales@example.org,001-301-283-6675x2545,1955-10-09,M,Port Christine,TX,Premium,Active,2023-07-13,Self-employed,50484
Joseph,Stanley,alawson@example.com,681.256.1497,1960-03-11,M,Joyceton,AL,Retail,Inactive,2024-01-20,Self-employed,143646
Kevin,Clark,kathrynroberts@example.org,7763226838,1972-03-16,M,South Andrewland,VI,Premium,Inactive,2024-07-07,Self-employed,59922
Barbara,Berry,zroberts@example.org,829-675-1613x69681,1995-12-09,F,Jeffreyburgh,CA,Premium,Inactive,2025-05-10,Self-employed,129334
Cynthia,Schmidt,rebeccabailey@example.net,+1-923-912-4329x2127,1991-07-15,M,Michellemouth,FL,Retail,Inactive,2025-01-20,Employed Full-time,107153
Carlos,Ramos,laura90@example.com,814.977.0054x11998,1984-09-04,F,South Reginashire,SD,VIP,Inactive,2023-12-26,Retired,142510
Marc,Alvarez,susanhayes@example.com,001-718-720-3778x892,2007-08-26,M,Paulmouth,TX,Premium,Active,2025-09-22,Retired,69884
Brian,Mccoy,cameron18@example.net,(344)692-5192x5462,1983-03-22,M,Schneidermouth,GU,VIP,Inactive,2023-09-23,Employed Full-time,104040
Elizabeth,Calderon,lucasrodney@example.com,4544235733,1950-06-08,M,Meganville,NY,Retail,Active,2025-06-24,Self-employed,59282
Mary,Stephenson,stanleynancy@example.net,(296)822-2927,1969-12-22,M,South Cheryl,WV,Retail,Active,2025-02-03,Retired,47872
Jesus,Allen,mmckee@example.com,+1-297-974-6886x23924,2004-09-01,F,Angelaville,VT,VIP,Active,2025-05-18,Employed Full-time,65447
Melissa,Mitchell,joshuawhitehead@example.org,(713)575-0606x85361,1947-02-07,M,Sarahmouth,WY,Retail,Active,2023-10-21,Retired,77256
Devin,Mitchell,ihorton@example.net,379.601.0432x8986,1961-05-10,M,Davidbury,MT,Retail,Inactive,2025-11-25,Retired,54346
Laura,Bryant,copelandvincent@example.net,7895324609,1984-01-07,F,Lopezland,NC,Retail,Inactive,2024-09-19,Self-employed,76174
Carlos,Fox,myerstheodore@example.net,(754)705-1531x9520,2000-07-17,M,Port Kimberly,NH,VIP,Active,2026-02-21,Retired,110599
Timothy,White,bryanparsons@example.com,8439030548,1962-06-04,F,Port Deborahport,MI,Premium,Inactive,2023-05-22,Employed Full-time,112602
Michelle,Rivera,lloydsamuel@example.com,001-876-452-7758x4161,1982-04-21,M,Manuelland,MD,VIP,Inactive,2025-12-29,Employed Full-time,84568
Kenneth,Griffin,cjackson@example.com,205.496.4016x582,2002-12-08,M,Johnsonland,IA,Premium,Active,2025-12-05,Retired,78113
Michael,Reyes,jacobserika@example.com,(271)492-8565x431,1979-02-22,M,Mcintyreville,KS,VIP,Active,2024-04-16,Self-employed,46528
Jane,Lewis,heather73@example.org,(617)627-1551,2003-02-13,F,Lake Jenna,UT,Retail,Inactive,2025-11-23,Employed Full-time,35158
Grant,Ward,davidharris@example.org,470.358.9578,1949-08-29,M,Raymondfort,NC,VIP,Active,2024-12-06,Employed Full-time,135952
Kayla,Morrow,martinezlogan@example.org,378.452.8922x680,1965-11-18,F,East Marcus,VT,Premium,Active,2024-02-22,Employed Full-time,61442
Michael,Everett,meghan43@example.net,+1-442-449-8182,1990-01-04,M,Meganshire,AZ,VIP,Active,2023-04-22,Retired,69749
Christopher,Fry,debra96@example.net,+1-407-984-4736x4710,1973-06-20,M,Marshallmouth,PA,Retail,Active,2023-10-18,Employed Full-time,132442
Larry,Higgins,theresa25@example.net,+1-415-337-1473,1948-08-17,F,Soniachester,IA,VIP,Inactive,2023-11-12,Retired,146235
Lisa,Peck,james27@example.net,774.270.1687x339,1948-08-16,F,Troyfort,LA,Retail,Active,2025-06-19,Employed Full-time,109018
Alan,Rodriguez,nicoleluna@example.com,(906)609-8358x416,2001-05-07,F,East Theresafurt,MN,Premium,Active,2024-08-16,Self-employed,53870
Angela,Diaz,jameshicks@example.net,4007257872,1986-11-26,M,Franciscoport,OR,VIP,Active,2024-08-12,Employed Full-time,77357
William,Hicks,terickson@example.com,9556169409,1989-10-18,F,Lake Brett,NJ,Retail,Inactive,2023-11-28,Self-employed,80704
Alexandria,Griffith,rhernandez@example.org,8915307562,1973-02-09,M,Salaston,VT,Premium,Inactive,2023-10-09,Employed Full-time,49282
April,Hoffman,ufox@example.org,685.585.4973x348,1965-06-09,M,Janetfort,MD,VIP,Active,2025-03-23,Employed Full-time,129820
Michael,Peck,keith98@example.com,(652)640-4157x4733,1954-07-11,F,New Joycebury,IA,VIP,Inactive,2023-05-26,Employed Full-time,31197
Elizabeth,Schmidt,briangutierrez@example.net,212.308.2677x3454,1989-07-28,F,New Joanne,PR,Retail,Inactive,2023-05-05,Self-employed,117115
Robin,Thompson,sarahjohnson@example.com,924.400.4991x5478,2003-02-06,M,Nelsonville,MA,Premium,Inactive,2023-11-16,Self-employed,41687
Jessica,Wong,alexisrogers@example.com,001-832-396-6851,1957-10-04,M,South Marcus,IA,Retail,Inactive,2023-03-19,Employed Full-time,72588
Jose,Young,stephanie49@example.net,001-404-853-0174,1991-11-15,F,Hannahport,MN,Retail,Active,2025-10-18,Self-employed,71191
Jeffrey,Bernard,vhernandez@example.net,(768)378-3391x878,2007-08-09,M,North Mariahaven,ID,VIP,Active,2025-08-14,Employed Full-time,70564
Amanda,Martin,nwilson@example.net,001-871-987-0728,1983-07-24,M,New Stevenport,VA,Retail,Active,2023-04-11,Retired,133172
Randy,Velasquez,bethwilliams@example.com,001-718-801-7046x226,1975-09-16,F,Bennettside,DC,Premium,Active,2025-12-18,Self-employed,33697
Michelle,Wilson,urice@example.org,5049786863,1968-09-27,M,West Jacob,FM,Premium,Inactive,2023-08-31,Self-employed,127546
Antonio,Keller,allencarlos@example.net,5792030673,1954-09-21,M,Jimshire,MD,VIP,Active,2025-08-22,Self-employed,83402
Carla,Chambers,joel28@example.org,(744)808-9268x70568,1972-12-19,F,West Nicholas,WV,Retail,Inactive,2025-06-21,Self-employed,86887
Thomas,Atkinson,meredith27@example.org,+1-566-788-2634,1989-03-11,M,South Melanieland,ND,Retail,Active,2023-12-29,Employed Full-time,131581
Brett,Bennett,russojacob@example.net,001-583-873-5403x3173,2007-06-17,F,New Marc,LA,Retail,Active,2024-10-20,Employed Full-time,123024
Steven,Wong,jose87@example.com,575-435-5609,1946-04-16,M,Angelashire,OR,Premium,Inactive,2024-12-16,Retired,106380
Kenneth,Gonzalez,noahwhitaker@example.com,+1-454-977-7252,1957-09-16,F,New Arthurland,GU,Premium,Inactive,2026-01-10,Self-employed,38304
Brandon,Smith,meganhall@example.net,(903)987-5099,1946-04-04,M,New Andreatown,AK,VIP,Active,2025-06-08,Retired,48627
Jennifer,Nichols,andre62@example.org,682-833-9845,1950-07-25,M,Susanmouth,OK,Premium,Inactive,2024-03-20,Self-employed,143264
Veronica,Perez,valdezmichele@example.org,366-968-7002,2002-09-16,F,Newmanmouth,OK,Retail,Inactive,2023-08-04,Retired,105540
Patricia,Ellison,jasonparrish@example.net,440.814.8902x5039,1950-06-03,F,Franciscobury,OK,Retail,Inactive,2024-11-02,Self-employed,60728
Erica,Fernandez,icampos@example.net,001-818-750-1631x5999,1947-03-15,F,Kristenmouth,NM,VIP,Active,2024-02-26,Self-employed,123599
Michael,Pugh,llopez@example.net,(719)343-1142x6265,1951-05-31,F,West Seanview,CT,VIP,Active,2023-09-30,Self-employed,127379
Christopher,Jordan,fgarcia@example.com,+1-819-395-6046,1994-07-06,M,New Adriana,TX,Premium,Active,2024-10-20,Retired,63996
Gavin,Adams,trevor12@example.com,964-371-5437x993,1954-05-28,F,Adamfurt,MA,VIP,Inactive,2025-10-27,Employed Full-time,83844
Noah,Atkins,pcook@example.net,(745)693-7526,1995-03-12,F,Faulknerbury,MD,Premium,Inactive,2024-10-13,Self-employed,80622
Juan,Hartman,daniel93@example.net,+1-828-907-3741,1954-08-28,F,Johnberg,VT,Premium,Inactive,2024-12-25,Employed Full-time,40028
Kristina,Jones,iaguilar@example.net,001-268-805-8911x352,1996-05-28,F,Tammychester,CT,VIP,Active,2023-03-25,Employed Full-time,141667
Corey,Walker,seanmyers@example.net,001-382-350-7146,2001-10-03,F,West Larry,NH,Retail,Inactive,2024-01-24,Employed Full-time,113630
Adriana,Bailey,kimheather@example.com,440-410-5123,1967-09-16,M,Mullenbury,AS,VIP,Active,2024-11-27,Retired,38014
Crystal,Lopez,vfoster@example.net,379.366.0334,1999-08-04,F,West Mark,NH,VIP,Inactive,2023-09-02,Self-employed,145803
Jose,Huffman,candice96@example.net,355-479-2499,1966-07-01,F,East Kevinburgh,MN,Retail,Active,2026-02-18,Self-employed,66031
Donald,Price,baileyhenderson@example.com,+1-782-282-7422x5790,1978-03-01,F,East Lisa,OH,Retail,Active,2025-05-02,Employed Full-time,41523
Denise,Ortiz,cperry@example.com,(619)403-4043,1998-04-25,M,Cunninghamfort,OH,Premium,Inactive,2025-05-10,Employed Full-time,37379
Daniel,Wilson,amber07@example.net,361.934.0745,2004-01-25,F,Port Lisaborough,AS,Retail,Active,2025-09-07,Self-employed,61204
Hannah,Callahan,imartin@example.org,709.658.4982,1964-11-15,M,Stephaniehaven,MH,Premium,Inactive,2026-01-27,Employed Full-time,62613
Lisa,Taylor,rsellers@example.net,(623)825-3672,1970-09-18,M,Jonesland,MO,Premium,Inactive,2025-05-17,Self-employed,135408
Kara,Neal,shawn75@example.net,5179518636,1963-06-17,F,Mariamouth,OH,VIP,Active,2025-08-22,Self-employed,37303
David,Phelps,patricia00@example.org,+1-670-312-7706x3242,1989-09-23,F,Johnstad,TN,Retail,Active,2025-12-11,Employed Full-time,101832
Gabriel,Sanders,jessica36@example.net,910-237-1293,1945-09-25,F,Lisachester,UT,Retail,Active,2023-09-30,Retired,132219
Tim,Perez,crosscurtis@example.com,(942)762-2189x092,1994-05-07,F,Lake Kaitlin,PW,VIP,Active,2024-12-07,Retired,43281
Christina,Ramos,christophergarcia@example.org,001-565-665-2341,1998-03-12,F,Port Melanieport,IL,Premium,Inactive,2025-05-21,Self-employed,129166
Catherine,Lopez,dphillips@example.org,861.737.9180x5526,1982-05-13,M,Port Thomas,WI,VIP,Active,2023-06-30,Retired,38091
Alvin,Jones,jason06@example.net,386-566-1889x2414,2000-03-04,M,New Mark,OR,VIP,Active,2025-11-18,Retired,40136
Kathryn,Santos,collinssamuel@example.org,6314617990,1953-04-24,M,Lake Derricktown,GA,Retail,Inactive,2025-04-18,Retired,121164
Stephanie,Mills,gary24@example.net,305-964-8149,1976-02-29,M,Brianshire,GA,VIP,Active,2024-09-30,Retired,61632
Eric,Ayala,perezwilliam@example.org,8305756220,1967-01-31,F,South Ruth,MD,VIP,Active,2024-05-03,Employed Full-time,31039
Margaret,Duncan,shawrachel@example.org,380.961.7445,1945-09-23,F,Jamesshire,WY,VIP,Active,2024-06-23,Retired,52924
Jodi,Sanchez,brittany73@example.net,+1-232-706-0385,1945-04-14,M,Sweeneyport,CT,VIP,Inactive,2024-01-21,Retired,122592
Alyssa,Allen,jwoodward@example.net,410-838-6571x918,1950-04-11,F,South Elaineberg,IA,Retail,Active,2024-06-04,Employed Full-time,62669
Jose,Edwards,vhaynes@example.com,774-831-3291x21277,1953-05-26,M,Tamiborough,NV,VIP,Inactive,2024-06-29,Self-employed,86337
Steven,Phelps,mooregina@example.net,001-690-635-2135x680,2000-12-28,F,North Stephanie,PR,Retail,Active,2025-02-08,Self-employed,75769
Angela,Pierce,murraylinda@example.org,600-332-3651,1946-09-01,M,East Rachelmouth,AS,Premium,Active,2023-09-25,Employed Full-time,115480
Christopher,Boone,david70@example.org,001-566-470-6625,1963-11-24,F,Seanberg,AZ,VIP,Active,2025-10-17,Retired,121797
Christine,Sanchez,victor87@example.org,246-826-3838,1998-05-24,M,Timothyfort,MI,Retail,Inactive,2025-08-03,Retired,34322
Wayne,Price,anthonyharper@example.org,001-240-578-5932x13348,1984-05-11,M,Kellyburgh,HI,Premium,Inactive,2024-03-10,Employed Full-time,90097
Brittany,Drake,robin05@example.net,001-229-337-8427,1949-01-03,M,New Jeffery,NC,Retail,Active,2025-03-20,Retired,148675
Aaron,Hardin,lindsaypeterson@example.org,700-629-2185x15691,1967-02-20,M,East Jessica,NE,Premium,Active,2025-11-26,Retired,83320
Susan,Banks,jasminehoffman@example.net,(239)426-4422x096,1986-03-06,M,Samanthabury,SC,Premium,Inactive,2025-08-03,Employed Full-time,43394
Dalton,Crawford,julie35@example.com,(715)670-4331,1998-09-28,M,Lake Aaronfurt,NV,Retail,Inactive,2024-12-19,Employed Full-time,44953
Tanya,Wilkerson,wmacias@example.net,(317)393-2710x4054,1968-06-11,M,South Eugene,CA,Retail,Active,2025-07-05,Retired,135820
Shelly,Spence,brooke97@example.net,5625962015,1973-01-13,M,Donnaport,IA,Premium,Inactive,2023-08-05,Self-employed,108748
Brandon,Armstrong,xhernandez@example.org,(614)897-3103x24171,1977-03-26,M,Jacobsonview,CO,Retail,Active,2025-11-30,Retired,149615
Amy,Lopez,cwood@example.org,877-543-4902x115,1982-11-09,F,Port Paulhaven,MT,VIP,Inactive,2025-06-17,Retired,99759
Gloria,Mayer,thomasmiller@example.net,4894899217,1959-08-09,F,East Brad,CO,Retail,Inactive,2026-02-02,Retired,54139
Ryan,Osborn,maryscott@example.net,916-286-8548,1998-09-16,F,Rodriguezberg,FL,Retail,Inactive,2025-08-05,Retired,63173
Brianna,Chang,buckleyanna@example.org,885-464-6799x7024,1987-04-04,M,Williamsmouth,UT,VIP,Active,2024-03-12,Employed Full-time,48733
Brandon,Alvarez,penny05@example.com,547-913-2475x4691,1959-07-28,F,Figueroahaven,VI,VIP,Active,2024-10-09,Self-employed,44479
Lori,Robertson,cameronmckinney@example.com,(289)902-3303,1948-08-16,M,Janetview,MN,VIP,Inactive,2025-02-27,Employed Full-time,110491
William,Reid,maldonadojohn@example.com,+1-272-879-8552x414,1948-07-25,M,Port Ashley,IL,Retail,Inactive,2024-02-15,Retired,83697
Deborah,Byrd,denise80@example.net,6726290349,1974-01-09,F,Yorkmouth,KS,Retail,Inactive,2024-02-10,Employed Full-time,56242
Steven,Byrd,asilva@example.net,+1-658-699-4417x15454,1958-01-01,M,New Kathy,MH,VIP,Inactive,2023-06-05,Self-employed,136594
Linda,Lang,rguerrero@example.org,001-507-944-6660x9935,2006-11-15,M,Williamburgh,MP,Premium,Inactive,2025-12-24,Retired,33364
Nancy,White,ruizjoyce@example.net,+1-725-713-5346,1962-12-01,F,Stevenville,NJ,VIP,Inactive,2023-05-31,Employed Full-time,37616
Michelle,Silva,kennedyjames@example.org,+1-768-446-0223x56972,1998-03-11,M,South Marvinburgh,MD,VIP,Inactive,2025-11-18,Retired,48611
Brian,Hayes,kathleenjackson@example.org,512.796.6667x6008,1946-02-21,F,Katherinehaven,ID,VIP,Inactive,2023-04-05,Self-employed,100184
Erica,Sims,jeremywiley@example.com,(616)689-4210,1976-03-18,F,Ryanberg,MA,Retail,Inactive,2025-04-08,Self-employed,60743
Michael,Lopez,osmith@example.net,(830)698-2150,1997-09-01,F,New Virginiaville,SD,Premium,Inactive,2023-04-08,Employed Full-time,65858
Brandon,Wilson,jjames@example.com,323.304.6184x9926,1964-06-03,M,Port Danielborough,PA,Premium,Inactive,2024-01-13,Retired,79358
Kimberly,Decker,michaelortiz@example.org,3873375300,2002-01-08,M,Hernandezland,WI,Premium,Inactive,2025-05-11,Self-employed,98929
Charles,Cummings,dawn74@example.com,201.420.4556x110,1990-04-29,F,West Michael,NV,VIP,Active,2025-10-29,Employed Full-time,42580
Joseph,Quinn,lisa21@example.com,(974)967-6212x0216,1957-07-09,M,Maxwelltown,VI,Retail,Active,2026-02-04,Employed Full-time,62941
Nichole,Acosta,timothyfreeman@example.com,301.845.0899x358,1990-03-19,M,South Michael,TX,VIP,Inactive,2025-11-29,Employed Full-time,149414
Paul,Combs,smithsarah@example.net,872.817.5354x0838,2000-10-15,M,North Stephen,AS,Retail,Inactive,2025-08-15,Self-employed,79432
Shane,Gates,fstewart@example.net,+1-501-966-0880x1994,1968-05-18,M,Marciabury,PR,Premium,Inactive,2025-02-11,Self-employed,119629
Martin,Saunders,xmoran@example.net,211.430.5548x851,1978-09-11,F,Port Jennifer,VA,Premium,Inactive,2024-12-03,Retired,105473
Daniel,Carr,davidphelps@example.org,435.916.0917x798,1945-06-24,F,New Savannahshire,NJ,VIP,Inactive,2025-05-06,Employed Full-time,91290
Kimberly,Kent,jessicaanderson@example.com,+1-499-458-6693x46547,1973-04-09,M,Meganside,VI,Premium,Active,2024-07-08,Self-employed,119308
Jennifer,Walls,jamesweber@example.com,+1-652-828-8515x87996,2000-03-10,M,New Danielfurt,FL,Retail,Inactive,2023-05-30,Employed Full-time,45565
Ellen,Gonzalez,tonyavega@example.org,5438805719,1961-05-09,M,Heatherton,MS,Retail,Inactive,2024-10-31,Retired,105117
Robert,French,tammy00@example.net,939-473-5989x334,1991-08-22,F,East Sydneyhaven,DE,VIP,Active,2024-10-14,Employed Full-time,143552
Billy,Ramirez,david94@example.org,372-702-5909x47985,1980-12-08,M,East Abigail,WY,VIP,Inactive,2025-05-01,Self-employed,99788
Erik,Daniels,odavis@example.org,+1-555-554-3987x80157,1947-11-25,F,Patrickville,MS,VIP,Active,2024-04-10,Self-employed,73493
Amber,Campbell,willie87@example.com,2433581128,1959-07-13,F,Port Gina,MP,Retail,Active,2023-08-17,Self-employed,125785
Jamie,Poole,elucas@example.net,+1-520-675-0110x24819,1972-12-03,F,Hayesfurt,NE,Retail,Inactive,2024-07-12,Employed Full-time,59424
Andre,Nunez,maychristine@example.net,001-301-658-1449,1997-04-05,M,Jamestown,NJ,Premium,Active,2023-11-06,Retired,106806
Amanda,Taylor,irobles@example.com,+1-824-350-8821x0099,1965-12-02,F,Lake Judith,VA,Retail,Inactive,2024-08-24,Employed Full-time,118447
Jason,Whitehead,eugenewalker@example.com,612.390.8781,1962-03-30,F,East Jessicafort,MA,Premium,Inactive,2024-09-13,Self-employed,135626
David,Rios,mitchellchad@example.org,277-759-4929x95562,1961-12-08,F,Lake Jodi,NE,VIP,Inactive,2024-05-11,Employed Full-time,130722
Mary,Taylor,natalie77@example.com,001-347-281-2914x28341,2002-12-31,M,Port Bonniefurt,WI,Premium,Inactive,2025-09-10,Retired,141384
Jason,Johnson,amy87@example.net,001-225-563-9427x88165,2002-11-21,M,Port Willie,NV,VIP,Active,2023-11-11,Employed Full-time,91287
Harold,Fry,jillwebb@example.com,5377314530,1971-08-06,F,Hardinton,AZ,Retail,Inactive,2025-12-10,Self-employed,91087
Mario,Padilla,mary49@example.net,001-826-565-9184,1980-04-28,M,Gomezstad,NM,Retail,Inactive,2025-03-26,Employed Full-time,70282
Paige,Smith,scotthall@example.net,+1-943-922-2591x3651,1977-10-13,F,New Evan,MP,Premium,Inactive,2024-12-06,Employed Full-time,116832
Andrew,Williams,dennishunt@example.net,(202)642-8699,1951-01-08,M,South Catherine,NJ,Premium,Inactive,2025-03-26,Employed Full-time,119264
George,Greer,laurahoover@example.org,+1-484-325-7991x366,1946-04-24,F,New Michele,NY,Premium,Inactive,2026-02-04,Self-employed,77359
Robert,Hernandez,thompsonrachel@example.net,2888117298,1980-09-16,F,Woodton,UT,VIP,Inactive,2025-06-09,Retired,54998
Roy,Mays,yclarke@example.com,001-691-862-4731,1962-09-23,M,North Jenna,WY,Premium,Inactive,2023-03-20,Self-employed,98988
Becky,Wilson,brooksjamie@example.com,(851)526-9448x69594,1973-04-21,F,Whiteside,OH,Premium,Inactive,2025-03-29,Employed Full-time,106463
Jon,Parker,kim62@example.net,237-421-3865,1971-08-31,F,Port Christopherberg,NJ,Premium,Inactive,2025-09-26,Retired,100139
Ryan,Brown,nathanlynch@example.net,(669)584-9027x7038,1947-06-22,M,New Gavin,AZ,Retail,Active,2024-09-17,Self-employed,35080
John,Smith,christopherhill@example.com,(766)793-8011x848,2000-09-05,F,Jeremyborough,NH,Retail,Inactive,2024-11-25,Retired,149915
Bailey,Green,jhunter@example.org,745.918.4894x76973,1991-07-27,M,Mosleytown,NJ,VIP,Inactive,2023-09-05,Self-employed,48743
